Image,Method,Time(sec),RMS,NRMS,GRR,C2G-SSIM,CCPR,CCFR,E-Score
Image01.jpg,average,0.0172,64.4924,0.2909,0.3021,0.9873,0.8688,0.9369,0.9016
Image01.jpg,luminance,0.0149,63.8685,0.3043,0.3293,0.9975,0.8774,0.9359,0.9057
Image01.jpg,cielab,0.2521,60.314,0.3333,0.3381,0.9865,0.8835,0.9388,0.9103
Image01.jpg,decolorize,0.5288,76.1737,0.3138,0.258,0.8423,0.851,0.9302,0.8889
Image01.jpg,corrc2g,0.1073,61.2717,0.4407,0.3782,0.8903,0.9027,0.9274,0.9148
Image01.jpg,color2gray,6.5268,62.1559,0.3795,0.3428,0.8589,0.9406,0.9098,0.9249
Image02.jpg,average,0.0162,67.0231,0.1064,0.3233,0.9943,0.9179,0.851,0.8832
Image02.jpg,luminance,0.0138,66.4626,0.1071,0.3257,0.9986,0.9139,0.8511,0.8814
Image02.jpg,cielab,0.188,63.7505,0.1168,0.3166,0.994,0.9116,0.8608,0.8855
Image02.jpg,decolorize,0.2947,70.8279,0.1257,0.3292,0.9614,0.9351,0.8518,0.8915
Image02.jpg,corrc2g,0.0969,66.0646,0.1112,0.3226,0.9966,0.9138,0.8517,0.8817
Image02.jpg,color2gray,4.6031,63.0419,0.1621,0.3154,0.9125,0.9145,0.8549,0.8837
Image03.jpg,average,0.0224,79.362,0.155,0.3269,0.9897,0.9525,0.9121,0.9319
Image03.jpg,luminance,0.0167,77.9328,0.1561,0.3277,0.9976,0.9518,0.9111,0.931
Image03.jpg,cielab,0.2634,74.3812,0.1702,0.3268,0.9869,0.9487,0.917,0.9326
Image03.jpg,decolorize,0.4997,85.0855,0.1725,0.3146,0.9432,0.9505,0.9162,0.933
Image03.jpg,corrc2g,0.1365,82.6664,0.1522,0.3298,0.9877,0.9537,0.911,0.9319
Image03.jpg,color2gray,7.3726,72.6599,0.2178,0.318,0.9136,0.9485,0.9111,0.9294
Image04.jpg,average,0.0187,48.6977,0.5604,0.2329,0.9628,0.6954,0.9699,0.81
Image04.jpg,luminance,0.0128,56.7465,0.5712,0.2594,0.9891,0.6825,0.97,0.8013
Image04.jpg,cielab,0.1963,64.4993,0.619,0.3436,0.9432,0.7331,0.9725,0.836
Image04.jpg,decolorize,0.2913,86.4306,0.7684,0.2627,0.6772,0.7506,0.966,0.8448
Image04.jpg,corrc2g,0.0969,59.689,0.5819,0.3164,0.875,0.7859,0.95,0.8602
Image04.jpg,color2gray,8.302,78.2143,0.7374,0.3259,0.7179,0.8336,0.9438,0.8853
Image05.jpg,average,0.0211,67.6933,0.4085,0.3066,0.9712,0.7808,0.9821,0.87
Image05.jpg,luminance,0.0175,69.3607,0.4137,0.3107,0.9948,0.7645,0.982,0.8597
Image05.jpg,cielab,0.2597,68.2525,0.4376,0.2922,0.9876,0.7748,0.9801,0.8654
Image05.jpg,decolorize,0.4146,91.1977,0.4795,0.3687,0.6501,0.8022,0.9801,0.8823
Image05.jpg,corrc2g,0.1247,66.2083,0.4284,0.292,0.985,0.7828,0.9799,0.8703
Image05.jpg,color2gray,7.2697,76.6093,0.503,0.2772,0.9332,0.8705,0.9706,0.9178
Image06.jpg,average,0.0219,53.5294,0.316,0.2749,0.9667,0.7587,0.9737,0.8528
Image06.jpg,luminance,0.018,62.1305,0.3174,0.3182,0.9957,0.7348,0.9739,0.8376
Image06.jpg,cielab,0.2648,60.5249,0.3284,0.3072,0.9846,0.7309,0.9774,0.8364
Image06.jpg,decolorize,0.4048,65.8077,0.3746,0.3715,0.886,0.8261,0.9676,0.8913
Image06.jpg,corrc2g,0.1259,55.2548,0.3007,0.3066,0.9732,0.7684,0.9728,0.8586
Image06.jpg,color2gray,9.4466,66.9312,0.3907,0.3076,0.8605,0.7973,0.9571,0.8699
Image07.jpg,average,0.0209,67.0345,0.272,0.3193,0.9888,0.9028,0.9404,0.9212
Image07.jpg,luminance,0.0164,70.1843,0.2724,0.3346,0.9954,0.8953,0.9408,0.9175
Image07.jpg,cielab,0.2534,74.2179,0.2907,0.3647,0.9744,0.8877,0.9515,0.9185
Image07.jpg,decolorize,0.4249,75.9498,0.3309,0.3317,0.9218,0.8879,0.9388,0.9126
Image07.jpg,corrc2g,0.1294,69.6048,0.2745,0.3304,0.9885,0.8971,0.9413,0.9187
Image07.jpg,color2gray,7.996,75.0938,0.3541,0.3507,0.82,0.9318,0.9461,0.9389
Image08.jpg,average,0.0216,52.3258,0.4141,0.2801,0.9664,0.7547,0.8671,0.807
Image08.jpg,luminance,0.0195,54.6285,0.4233,0.2838,0.9918,0.7466,0.8667,0.8022
Image08.jpg,cielab,0.267,51.7061,0.48,0.2443,0.9619,0.7348,0.8816,0.8016
Image08.jpg,decolorize,0.4276,61.4414,0.641,0.2138,0.8787,0.7564,0.8826,0.8146
Image08.jpg,corrc2g,0.1291,68.2792,0.6406,0.2862,0.7881,0.7813,0.8527,0.8154
Image08.jpg,color2gray,10.6363,66.2677,0.6268,0.2714,0.6801,0.8458,0.8636,0.8546
Image09.jpg,average,0.0229,64.3462,0.3511,0.2948,0.9598,0.7876,0.8618,0.823
Image09.jpg,luminance,0.0196,70.0551,0.3657,0.3301,0.9921,0.7797,0.857,0.8165
Image09.jpg,cielab,0.2702,70.1075,0.3986,0.3319,0.9732,0.786,0.8631,0.8227
Image09.jpg,decolorize,0.3925,66.2513,0.4654,0.2632,0.8942,0.769,0.8945,0.827
Image09.jpg,corrc2g,0.1418,64.9509,0.3406,0.2885,0.9291,0.7991,0.862,0.8294
Image09.jpg,color2gray,8.3709,76.6327,0.5078,0.341,0.711,0.8556,0.8396,0.8476
Image10.jpg,average,0.0242,69.5864,0.3322,0.3134,0.9876,0.8957,0.8462,0.8702
Image10.jpg,luminance,0.0198,70.2222,0.3304,0.3194,0.9914,0.8922,0.8453,0.8681
Image10.jpg,cielab,0.3127,66.799,0.3918,0.2915,0.9452,0.9031,0.852,0.8768
Image10.jpg,decolorize,0.4886,82.9853,0.2914,0.3331,0.7265,0.9057,0.8634,0.884
Image10.jpg,corrc2g,0.1626,74.8362,0.2641,0.3427,0.9782,0.8839,0.8456,0.8643
Image10.jpg,color2gray,10.0721,59.9604,0.4818,0.294,0.8033,0.9203,0.8482,0.8828
Image11.jpg,average,0.0249,54.9988,0.1586,0.3198,0.994,0.9669,0.8514,0.9055
Image11.jpg,luminance,0.0192,55.2702,0.1597,0.332,0.9986,0.9696,0.8499,0.9058
Image11.jpg,cielab,0.2691,50.4604,0.1614,0.3068,0.9949,0.9672,0.8581,0.9094
Image11.jpg,decolorize,0.3797,70.3348,0.2077,0.3514,0.9302,0.9527,0.8502,0.8986
Image11.jpg,corrc2g,0.1405,57.2438,0.1666,0.3349,0.9946,0.9685,0.8508,0.9058
Image11.jpg,color2gray,7.0057,52.0678,0.1983,0.3001,0.928,0.947,0.8557,0.899
Image12.jpg,average,0.0208,55.6641,0.2444,0.3216,0.9959,0.9459,0.9007,0.9228
Image12.jpg,luminance,0.017,59.7319,0.2574,0.3346,0.9979,0.9477,0.9002,0.9233
Image12.jpg,cielab,0.2762,54.8129,0.265,0.3092,0.9889,0.9483,0.9031,0.9252
Image12.jpg,decolorize,0.3866,81.6075,0.3563,0.3447,0.803,0.9293,0.9086,0.9189
Image12.jpg,corrc2g,0.1279,53.1236,0.2384,0.3165,0.9832,0.9457,0.8978,0.9211
Image12.jpg,color2gray,9.1909,59.7494,0.3486,0.3004,0.9076,0.9486,0.8975,0.9223
Image13.jpg,average,0.0347,58.9044,0.1676,0.3228,0.9898,0.9143,0.9047,0.9095
Image13.jpg,luminance,0.0348,58.5975,0.1685,0.3333,0.9978,0.9119,0.9044,0.9081
Image13.jpg,cielab,0.3918,56.9504,0.1773,0.3351,0.9927,0.9154,0.9085,0.9119
Image13.jpg,decolorize,0.719,66.3425,0.1902,0.3148,0.9577,0.9048,0.8995,0.9021
Image13.jpg,corrc2g,0.1973,61.9219,0.1695,0.3276,0.9835,0.9137,0.9013,0.9075
Image13.jpg,color2gray,9.1515,60.3453,0.2201,0.3335,0.8992,0.9065,0.8969,0.9017
Image14.jpg,average,0.0193,49.813,0.0843,0.3245,0.9924,0.9457,0.936,0.9408
Image14.jpg,luminance,0.0161,51.3243,0.0872,0.3361,0.9986,0.9427,0.9345,0.9386
Image14.jpg,cielab,0.23,49.9416,0.0889,0.3294,0.9975,0.9423,0.9376,0.94
Image14.jpg,decolorize,0.37,53.8349,0.099,0.336,0.9861,0.9541,0.9311,0.9425
Image14.jpg,corrc2g,0.1103,51.2229,0.0843,0.3297,0.9935,0.9497,0.9343,0.9419
Image14.jpg,color2gray,4.4967,48.3604,0.106,0.332,0.94,0.9302,0.9265,0.9284
Image15.jpg,average,0.0308,78.5236,0.1902,0.3194,0.9759,0.9282,0.7402,0.8236
Image15.jpg,luminance,0.0282,80.9451,0.1948,0.3348,0.9957,0.9307,0.7401,0.8245
Image15.jpg,cielab,0.411,79.2799,0.202,0.3242,0.9823,0.936,0.7465,0.8306
Image15.jpg,decolorize,0.6811,80.3776,0.2382,0.2696,0.9043,0.9217,0.7465,0.8249
Image15.jpg,corrc2g,0.2088,77.5393,0.2074,0.3066,0.9393,0.9243,0.7382,0.8208
Image15.jpg,color2gray,10.1799,83.0599,0.2659,0.3134,0.8345,0.9054,0.7464,0.8182
Image16.jpg,average,0.0183,67.8027,0.2036,0.3136,0.9806,0.8996,0.9068,0.9032
Image16.jpg,luminance,0.0163,68.0747,0.2049,0.319,0.9949,0.8955,0.9063,0.9009
Image16.jpg,cielab,0.2377,63.6241,0.2322,0.3112,0.9771,0.8959,0.91,0.9029
Image16.jpg,decolorize,0.3444,73.5462,0.1928,0.3161,0.9589,0.9002,0.9036,0.9019
Image16.jpg,corrc2g,0.1139,71.4244,0.19,0.3147,0.9845,0.8957,0.9067,0.9012
Image16.jpg,color2gray,4.4836,62.8025,0.2502,0.3128,0.8856,0.9235,0.8888,0.9058
Image17.jpg,average,0.021,66.5401,0.2445,0.3125,0.9832,0.816,0.9385,0.873
Image17.jpg,luminance,0.0187,69.3299,0.2452,0.3248,0.9954,0.818,0.9384,0.8741
Image17.jpg,cielab,0.2701,71.7567,0.2586,0.3238,0.9856,0.826,0.9358,0.8775
Image17.jpg,decolorize,0.3948,72.3111,0.3297,0.3001,0.8991,0.8594,0.9373,0.8966
Image17.jpg,corrc2g,0.1311,65.8784,0.2247,0.316,0.9865,0.8154,0.9382,0.8725
Image17.jpg,color2gray,9.4086,76.984,0.3604,0.333,0.8053,0.9135,0.902,0.9077
Image18.jpg,average,0.0218,64.2589,0.3526,0.2661,0.9784,0.7604,0.9588,0.8482
Image18.jpg,luminance,0.0183,71.4516,0.3588,0.2854,0.9958,0.7466,0.959,0.8396
Image18.jpg,cielab,0.2727,67.5645,0.3784,0.2626,0.9774,0.7468,0.9618,0.8408
Image18.jpg,decolorize,0.3992,102.4121,0.4934,0.3661,0.7575,0.8002,0.9518,0.8694
Image18.jpg,corrc2g,0.1396,65.697,0.3674,0.2733,0.9382,0.799,0.9554,0.8702
Image18.jpg,color2gray,9.0485,75.6358,0.4619,0.2673,0.8468,0.9116,0.9391,0.9251
Image19.jpg,average,0.0234,61.5705,0.2666,0.2972,0.9724,0.7159,0.9619,0.8209
Image19.jpg,luminance,0.0176,62.8565,0.2689,0.3041,0.9924,0.6868,0.9618,0.8014
Image19.jpg,cielab,0.2617,56.4987,0.2901,0.2852,0.9808,0.6844,0.9599,0.7991
Image19.jpg,decolorize,0.3952,87.2039,0.3631,0.3621,0.8077,0.786,0.9548,0.8622
Image19.jpg,corrc2g,0.1341,57.9942,0.2482,0.2821,0.9688,0.75,0.9589,0.8417
Image19.jpg,color2gray,8.6898,71.4482,0.3777,0.2757,0.827,0.91,0.938,0.9238
Image20.jpg,average,0.0217,61.8166,0.2395,0.3035,0.9873,0.8952,0.8493,0.8716
Image20.jpg,luminance,0.0188,64.6121,0.2412,0.3225,0.9964,0.8905,0.8483,0.8689
Image20.jpg,cielab,0.2678,56.7864,0.2415,0.293,0.9864,0.8928,0.8523,0.8721
Image20.jpg,decolorize,0.3975,57.8598,0.3026,0.3433,0.9262,0.9058,0.8427,0.8731
